"record_id","category","direct_smoke_relevance","title","authors","year","venue","identifier","url","problem_setting","physical_model","decision_variables","objective","constraints","algorithm","global_guarantee","validation","transferable","nontransferable","difference_to_problem","verification_status","accessed_on"
"P03","sip_continuous_cover","no","Global optimization of semi-infinite programs via restriction of the right-hand side","Alexander Mitsos","2011","Optimization","10.1080/02331934.2010.527970","https://doi.org/10.1080/02331934.2010.527970","非凸半无限规划全局求解","右端限制构造上下界","SIP决策变量","全局优化并控制可行性","连续索引非凸约束","restriction与全局子问题","yes_under_assumptions","理论与数值算例","上下界和最优性gap的设计","需要可解的全局子问题与正则条件","本题完整动力学规模可能使严格全局法代价过高","verified_crossref","2026-07-31"
"P04","sip_continuous_cover","no","A hybrid discretization algorithm with guaranteed feasibility for the global solution of semi-infinite programs","Hatim Djelassi; Alexander Mitsos","2016","Journal of Global Optimization","10.1007/s10898-016-0476-7","https://doi.org/10.1007/s10898-016-0476-7","全局SIP","混合离散化和可行性修复","SIP决策变量","获得全局且可行解","无限约束和全局子问题","混合离散化","yes_under_assumptions","理论和基准","Q2候选的可行性保证框架","不能忽略非光滑并集几何和求解成本","本题需自定义时空separation oracle","verified_crossref","2026-07-31"
"P05","sip_continuous_cover","no","Interval Methods for Semi-Infinite Programs","Binita Bhattacharjee; William H. Green; Paul I. Barton","2005","Computational Optimization and Applications","10.1007/s10589-005-4556-8","https://doi.org/10.1007/s10589-005-4556-8","SIP连续索引认证","区间算术上下界","SIP变量和索引区间","认证可行性/求解","区间包含与分支","区间方法","yes_under_assumptions","理论与数值算例","连续时间/空间未决区间认证","区间扩张和高维成本","本题需处理圆盘并集非光滑最小函数","verified_crossref_agent","2026-07-31"
"P06","sip_continuous_cover","no","Global solution of semi-infinite programs","B. Bhattacharjee; P. Lemonidis; W. H. Green Jr.; P. I. Barton","2005","Mathematical Programming","10.1007/s10107-005-0583-6","https://doi.org/10.1007/s10107-005-0583-6","非凸SIP全局求解","区间分支定界","SIP变量","全局求解","连续索引约束","全局区间算法","yes_under_assumptions","数值基准","严格分支定界备选","维度与计算量可能不适合竞赛主流程","本题需要先做低维toy验证","verified_crossref","2026-07-31"
"P07","sip_continuous_cover","no","The predicates of the Apollonius diagram: Algorithmic analysis and implementation","Ioannis Z. Emiris; Menelaos I. Karavelas","2006","Computational Geometry","10.1016/j.comgeo.2004.02.006","https://doi.org/10.1016/j.comgeo.2004.02.006","加权点/圆的Apollonius图","精确几何谓词","圆心与权重","正确构造加权Voronoi结构","退化和数值鲁棒性","计算几何算法","exact_predicates","实现与几何测试","空间最坏点候选与圆盘空洞检测","不包含时间、轨迹或烟幕物理","本题需把动态半径和舰船圆盘边界加入oracle","verified_crossref","2026-07-31"
"P08","sip_continuous_cover","no","Power Diagrams: Properties, Algorithms and Applications","F. Aurenhammer","1987","SIAM Journal on Computing","10.1137/0216006","https://doi.org/10.1137/0216006","幂图理论","加权Voronoi/幂距离","站点和权重","构造加权空间分区","几何一致性","幂图算法","exact_geometry","理论与算法","异半径圆盘并集的几何候选结构","不直接给动态覆盖求解器","本题还要检查受限舰船圆盘内的最坏缺口","verified_crossref","2026-07-31"
"P09","sip_continuous_cover","no","A New Exchange Method for Convex Semi-Infinite Programming","Liping Zhang; Soon-Yi Wu; Marco A. López","2010","SIAM Journal on Optimization","10.1137/090767133","https://doi.org/10.1137/090767133","凸半无限规划","凸约束交换","有限决策变量","求解凸SIP","凸性和连续索引","新交换法","yes_for_convex_case","理论与数值算例","约束生成收敛机制和停止准则","本题联合覆盖/轨迹通常非凸","只能支撑凸子问题或局部主问题","verified_crossref_agent","2026-07-31"
"P10","sip_continuous_cover","no","Rate-Preserving Discretization Strategies for Semi-Infinite Programming and Optimal Control","Elijah Polak; Limin He","1992","SIAM Journal on Control and Optimization","10.1137/0330032","https://doi.org/10.1137/0330032","SIP与最优控制离散化","保收敛阶网格策略","离散化控制/决策变量","保持连续问题收敛性质","网格与正则条件","离散化策略","conditional","理论与算例","网格加密和误差收敛测试设计","不自动认证非光滑覆盖","本题必须配独立separation/区间检查","verified_crossref","2026-07-31"
"G02","trajectory_nonconvex_hybrid","no","Geometric approach to capture analysis of PN guidance law","Chao-Yong Li; Wu-Xing Jing","2008","Aerospace Science and Technology","10.1016/j.ast.2007.04.007","https://doi.org/10.1016/j.ast.2007.04.007","比例导引捕获分析","PN与视线几何","导航比/相对状态","分析捕获条件","制导动力学","几何分析","analytical_conditions","解析与仿真","PN作为第三制导候选","导航比和过载参数不能从文献直接搬入","题面只说匀速追踪且参数缺失","verified_crossref","2026-07-31"
"G05","trajectory_nonconvex_hybrid","no","Direct trajectory optimization using nonlinear programming and collocation","C. R. Hargraves; S. W. Paris","1987","Journal of Guidance, Control, and Dynamics","10.2514/3.20223","https://doi.org/10.2514/3.20223","连续轨迹最优控制","直接配点NLP","状态与离散控制节点","优化轨迹目标","离散动力学和边界约束","非线性规划/配点","local","数值轨迹案例","UAV direct collocation候选","需要UAV动力学参数且通常只得局部解","本题机动约束未标定","verified_crossref","2026-07-31"
"G06","trajectory_nonconvex_hybrid","no","A Multiple Shooting Algorithm for Direct Solution of Optimal Control Problems","H. G. Bock; K. J. Plitt","1984","IFAC Proceedings Volumes","10.1016/S1474-6670(17)61205-9","https://doi.org/10.1016/S1474-6670(17)61205-9","最优控制直接求解","多重打靶","分段初值与控制","求解最优控制问题","动态连续性与边界","多重打靶","local","数值案例","与配点结构不同的UAV轨迹候选","需要可微动力学和良好初值","本题含事件、并集覆盖和离散投弹","verified_crossref","2026-07-31"
"G07","trajectory_nonconvex_hybrid","no","An Introduction to Trajectory Optimization: How to Do Your Own Direct Collocation","Matthew Kelly","2017","SIAM Review","10.1137/16M1062569","https://doi.org/10.1137/16M1062569","轨迹优化方法教程","直接配点与网格误差","状态/控制节点","稳定求解轨迹NLP","动力学和边界","直接配点","local","多个示例和误差讨论","toy demo设计、网格加密与缺陷检查","不提供本题物理参数或全局保证","本题应先证明复杂轨迹模型有必要","verified_crossref","2026-07-31"
"G08","trajectory_nonconvex_hybrid","no","GuSTO: Guaranteed Sequential Trajectory optimization via Sequential Convex Programming","Riccardo Bonalli; Abhishek Cauligi; Andrew Bylard; Marco Pavone","2019","IEEE ICRA","10.1109/ICRA.2019.8794205","https://doi.org/10.1109/ICRA.2019.8794205","非凸连续轨迹优化","序列凸化与信赖机制","状态/控制轨迹","求解非凸轨迹问题","动力学和非凸约束","GuSTO","convergence_under_assumptions","理论与机器人案例","序列凸化作为高级轨迹候选","保证条件与本题非光滑覆盖不自动匹配","竞赛成本需toy demo证明","verified_crossref","2026-07-31"
"C01","trajectory_nonconvex_hybrid","no","Task allocation and trajectory planning for multiple agents in the presence of obstacle and connectivity constraints with mixed-integer linear programming","Rubens J. M. Afonso; Marcos R. O. A. Maximo; Roberto K. H. Galvão","2020","International Journal of Robust and Nonlinear Control","10.1002/rnc.5092","https://doi.org/10.1002/rnc.5092","多智能体任务分配与轨迹规划","离散分配和线性化轨迹","任务分配与轨迹变量","完成任务并满足连接/障碍约束","多智能体资源与几何约束","MILP","yes_for_formulation","数值多智能体案例","Q3/Q4分层分配—轨迹结构","其线性化和场景不适用于烟幕覆盖","本题连续并集覆盖需独立oracle","verified_crossref","2026-07-31"
"C02","trajectory_nonconvex_hybrid","no","Logic-based Benders decomposition","J. N. Hooker; G. Ottosson","2003","Mathematical Programming","10.1007/s10107-003-0375-9","https://doi.org/10.1007/s10107-003-0375-9","逻辑/组合主问题与子问题分解","逻辑Benders割","主问题离散变量与子问题变量","精确求解适配的混合问题","可生成有效割和精确子问题","LBBD","yes_under_assumptions","理论与应用案例","Q2/Q4存在自然主从结构时的候选","没有天然分解或子问题不可证时不适用","必须由toy证明任务包/连续子问题能产生强割","verified_crossref","2026-07-31"
"C03","trajectory_nonconvex_hybrid","no","Solving two-stage robust optimization problems using a column-and-constraint generation method","Bo Zeng; Long Zhao","2013","Operations Research Letters","10.1016/j.orl.2013.05.003","https://doi.org/10.1016/j.orl.2013.05.003","两阶段鲁棒优化","列与约束生成","一阶段决策与最坏场景","优化最坏情形","明确不确定集和两阶段结构","CCG","yes_under_assumptions","理论与算例","Q4有界不确定性/场景生成候选","无可信不确定集时不能套用","本题目前缺少Q4概率或误差数据","verified_crossref","2026-07-31"
"C04","trajectory_nonconvex_hybrid","no","A fast and elitist multiobjective genetic algorithm: NSGA-II","Kalyanmoy Deb; Amrit Pratap; Sameer Agarwal; T. Meyarivan","2002","IEEE Transactions on Evolutionary Computation","10.1109/4235.996017","https://doi.org/10.1109/4235.996017","多目标非凸优化","非支配排序与精英保留","编码后的决策向量","逼近Pareto前沿","种群和问题约束","NSGA-II","no","基准测试函数","Q3多目标算法基准","无全局最优证书且随机稳定性需实测","本题优先级明确，ε-约束可能更可解释","verified_crossref","2026-07-31"
"N01","numerical_validation","no","Differential Evolution – A Simple and Efficient Heuristic for global Optimization over Continuous Spaces","Rainer Storn; Kenneth Price","1997","Journal of Global Optimization","10.1023/A:1008202821328","https://doi.org/10.1023/A:1008202821328","连续黑箱全局搜索","差分变异种群","连续决策向量","搜索低目标值","变量边界","Differential Evolution","no","标准函数","Q1全局探索基准并接局部精修","论文题名中的global不等于返回可证全局最优","本题还需可行性修复和独立连续验证","verified_crossref","2026-07-31"
"N03","numerical_validation","no","Global sensitivity indices for nonlinear mathematical models and their Monte Carlo estimates","I. M. Sobol","2001","Mathematics and Computers in Simulation","10.1016/S0378-4754(00)00270-6","https://doi.org/10.1016/S0378-4754(00)00270-6","非线性模型全局敏感性","方差分解","随机输入参数","估计全局敏感度","需要输入分布/独立性","Sobol指数","statistical","Monte Carlo估计","识别题面参数和候选解释的影响","没有可信分布时不能给现实概率解释","本题可先用有界扫描，分布有据时再用","verified_crossref","2026-07-31"
